id,count
0,110.06175
1,225.74338
2,81.26795
4,25.902502
5,76.042
10,170.80098
11,170.82686
12,293.1426
15,48.214317
17,178.68265
18,300.56244
23,244.65268
25,124.860085
26,67.844246
31,151.58517
39,63.255592
40,21.841692
41,133.97615
42,388.62637
43,230.98598
51,210.78319
52,110.65224
54,34.384136
60,123.11656
61,126.52407
62,79.139046
63,30.752193
65,127.0201
66,114.04372
68,112.129364
71,61.03723
80,35.309048
82,56.25371
94,141.8491
98,277.16052
101,36.432617
102,130.41861
107,192.69914
112,229.75842
113,72.176674
115,42.17877
116,130.5221
120,188.75552
121,47.04307
122,318.02603
132,185.14656
143,80.48696
147,61.84837
150,17.913073
151,74.9569
152,185.28352
153,86.32281
155,106.01311
156,100.26388
159,165.28204
161,108.13054
163,52.935337
177,226.65533
186,11.64949
188,18.553316
190,101.243095
191,95.330986
192,262.6361
195,323.89993
200,136.27951
209,305.62415
210,15.624723
211,243.76532
214,89.896164
215,38.421436
218,102.43195
219,36.507286
222,152.05754
225,21.129982
228,297.02878
236,234.61433
241,43.340584
242,128.66245
243,232.18237
245,23.969193
247,228.23302
251,93.97555
252,91.62619
253,73.79092
254,85.056915
258,287.6776
260,53.58585
261,104.6554
265,94.23617
266,274.90305
267,335.0358
269,195.98193
270,72.776764
275,84.840645
278,33.911884
279,72.29014
286,86.18706
287,32.481644
288,236.9043
289,155.70392
293,31.264608
294,56.734947
297,33.35682
302,109.056114
303,72.99894
304,32.688515
307,88.885574
309,19.027266
311,175.62463
312,84.21236
314,189.10864
315,196.46233
319,164.40796
322,107.17105
323,70.429985
325,133.99147
327,188.94942
330,40.093212
332,176.38383
333,27.059889
338,125.47678
341,98.258965
345,146.80956
348,93.55498
349,49.469933
350,127.090836
352,50.558132
355,32.791256
356,192.34766
358,30.306736
363,72.08463
369,154.45383
371,21.616425
372,119.05257
375,270.5843
380,116.47294
388,50.795033
391,69.76573
392,275.56995
393,370.62592
394,210.00307
396,28.5699
401,27.521833
407,81.10878
409,93.848785
410,102.734245
416,62.81909
418,120.32693
420,159.7958
421,158.26941
422,89.89895
424,282.98587
428,287.16544
429,229.2651
431,87.643456
435,9.824745
439,106.44194
441,9.058107
447,82.59253
449,164.44046
451,157.78592
452,17.757668
454,198.67856
458,224.04164
463,98.89455
467,10.801117
470,126.393135
471,198.05128
474,319.8653
478,23.82781
483,100.789566
484,130.53299
485,99.26007
486,163.84882
491,83.13169
494,103.1185
495,256.10522
497,245.49371
499,239.03871
515,80.85278
518,194.19609
521,190.28136
525,141.69789
529,296.3839
532,102.97531
534,67.81293
540,110.75224
544,287.30185
547,232.85054
549,41.33407
563,43.04447
564,183.99594
567,131.23535
572,79.378006
577,107.81657
578,238.00563
585,292.9323
588,186.61768
589,75.28409
590,110.41945
592,9.801306
594,222.42587
596,23.190037
598,376.80502
599,105.86292
605,15.807569
606,132.10475
607,291.0467
608,213.09311
609,72.4979
610,277.3769
611,200.37407
614,140.84096
615,224.5904
616,275.87817
617,115.42003
618,244.2072
624,120.513824
629,128.48042
631,89.451256
633,102.31857
637,32.593403
638,94.11463
643,51.93789
644,155.62491
645,38.654358
646,202.2693
648,156.40778
650,38.932793
651,238.16829
652,244.94467
656,66.62224
657,25.257
659,80.81548
660,142.25972
662,97.83993
665,368.58688
675,340.2872
681,148.1181
682,195.64217
685,20.023993
686,198.06265
689,32.806026
696,140.32211
703,166.52869
704,84.27545
705,79.112434
714,232.91083
717,114.94385
718,-2.8773434
720,89.631836
721,259.06738
723,232.70335
726,180.08705
728,76.33476
730,231.68478
731,19.089874
734,373.77966
737,47.68896
738,22.627321
745,189.20842
746,20.642838
749,224.75471
752,17.444874
753,88.21562
758,223.49208
765,22.479273
766,216.60326
768,81.8326
769,245.67914
774,166.80086
775,108.1401
781,48.18636
784,362.48026
794,0.9500928
795,228.373
796,79.66226
802,144.94948
803,190.88477
805,29.876497
806,250.4917
807,74.45113
809,12.264829
810,184.56381
812,255.14034
814,122.88874
818,242.77489
819,174.62073
825,46.157948
836,99.89734
839,142.14375
847,281.45996
848,224.6674
851,91.62539
852,155.07538
853,30.194183
857,171.31673
858,45.61668
859,233.9878
861,16.930033
867,97.914215
870,197.21532
871,181.40192
872,166.4883
874,339.07336
881,189.63004
886,89.610664
890,49.247894
895,132.7458
899,92.528206
900,273.7105
901,253.88736
902,192.6782
903,51.663742
913,252.59647
918,154.49675
923,83.88302
924,34.000774
926,19.885233
927,7.1677814
930,225.54471
934,35.55669
937,86.17391
939,86.37906
941,91.92358
942,398.66016
946,270.89966
950,90.36186
953,85.4399
959,84.95212
961,28.69114
962,71.47036
964,93.85949
969,182.51952
971,145.08057
976,49.23044
978,236.11504
980,234.1627
981,148.04045
990,344.4794
993,13.205182
996,20.214756
998,358.89917
999,185.29932
1006,125.26107
1008,24.94551
1013,35.928104
1015,85.67109
1016,64.767494
1022,343.7906
1026,181.7107
1028,242.35707
1031,80.158325
1034,45.72071
1037,174.73975
1040,59.94093
1042,19.70566
1046,15.95026
1048,92.89268
1049,107.6402
1050,81.93353
1051,182.37662
1052,209.7437
1055,236.47682
1060,177.53061
1064,20.807594
1066,57.299133
1071,80.724815
1073,17.546486
1089,162.80693
1091,99.73818
1092,93.91186
1093,222.81648
1096,357.83707
1097,226.1473
1098,17.527672
1099,50.155186
1102,194.86523
1107,127.596245
1109,29.51964
1111,161.22531
1112,110.24314
1114,300.24942
1116,296.863
1117,86.676735
1118,81.776665
1122,138.00809
1124,187.00905
1127,94.618645
1133,219.54253
1134,41.901264
1135,81.46029
1139,346.2749
1143,50.790535
1150,151.71358
1151,105.648575
1153,287.22205
1155,24.94702
1162,19.950678
1163,187.68347
1166,14.994126
1171,107.139084
1172,17.242325
1173,248.99135
1174,111.50956
1177,126.87071
1178,140.44923
1184,166.08307
1185,101.43086
1186,109.243744
1187,112.56855
1188,239.24417
1191,154.50223
1207,107.95281
1213,56.041416
1215,119.39681
1223,220.50284
1227,116.2714
1236,57.230732
1237,52.05655
1238,31.510006
1241,21.486366
1248,22.039732
1250,45.194633
1251,89.6787
1253,135.16783
1255,124.7071
1257,197.8413
1261,124.65423
1262,327.2502
1265,148.51733
1273,153.94109
1277,284.9887
1278,106.96394
1280,119.72435
1284,243.59985
1285,348.4755
1288,44.91132
1295,96.279686
1297,384.8149
1299,232.72905
1304,147.59467
1308,39.264236
1310,123.81362
1311,101.8292
1314,83.623184
1315,89.447395
1318,19.088884
1320,351.96255
1321,332.4352
1322,244.40938
1330,107.733734
1333,166.72516
1334,165.1343
1341,114.886925
1344,115.71099
1351,202.29445
1354,101.93015
1356,44.066288
1363,93.250046
1365,136.02399
1369,126.36908
1373,121.60836
1375,107.12602
1377,81.62875
1379,145.1703
1380,286.71893
1381,85.4928
1384,215.07985
1390,216.77168
1393,239.31392
1395,49.652832
1399,370.42062
1400,102.65865
1401,208.17935
1404,133.20024
1408,13.539004
1409,40.88831
1413,216.1596
1416,312.39636
1418,66.93365
1423,98.774376
1424,26.048813
1425,17.795618
1433,228.54909
1434,162.33264
1436,396.26282
1442,241.3145
1444,88.15588
1445,94.76447
1452,155.19298
1455,145.85515
1462,71.84753
1467,75.7351
1472,27.195827
1475,206.99884
1493,73.61607
1501,203.7661
1503,344.38876
1504,222.45367
1505,24.217318
1511,192.59853
1512,46.30349
1513,48.95807
1514,47.77343
1528,201.30064
1533,227.14711
1534,34.228664
1536,165.44026
1537,96.002785
1539,196.41602
1550,235.41162
1552,216.15019
1554,147.31033
1555,404.85886
1556,119.25952
1559,33.708473
1563,123.91436
1566,163.93803
1567,138.97736
1568,16.218065
1571,220.78418
1572,27.880548
1574,82.91279
1577,20.64552
1583,91.72467
1585,26.555439
1586,138.02316
1587,211.71704
1596,152.57883
1602,35.045433
1604,63.905575
1605,40.517662
1610,263.9049
1611,100.10369
1616,28.262165
1617,49.54372
1618,26.253025
1622,55.277336
1623,27.648195
1628,287.05896
1631,10.137814
1632,184.90482
1633,228.44426
1634,302.0375
1636,226.44504
1637,109.612785
1643,161.10876
1644,70.2523
1646,97.325714
1648,201.63669
1651,40.875538
1656,19.089182
1658,130.8815
1659,20.928383
1665,181.97375
1666,124.28355
1670,27.82152
1674,73.58763
1679,224.98483
1680,226.1211
1683,355.21387
1686,19.894608
1691,64.02299
1693,32.55935
1696,64.21353
1697,47.608147
1703,83.50296
1706,27.440804
1709,167.8409
1710,78.10448
1712,173.48705
1713,112.41396
1718,362.33838
1719,190.81924
1722,207.29318
1723,105.60446
1724,311.26685
1728,66.32552
1730,35.157936
1732,26.494257
1737,42.124752
1745,84.63579
1747,30.054049
1748,32.526722
1755,114.89717
1759,11.93379
1761,256.2749
1764,231.08981
1765,107.16191
1766,73.655914
1768,120.8238
1770,42.993225
1771,159.04549
1774,115.48463
1785,133.96693
1788,208.15561
1792,4.7702637
1794,227.8683
1797,96.78912
1798,11.268636
1799,276.25494
1802,96.033424
1806,29.042955
1808,88.94251
1810,246.56831
1818,156.15962
1819,409.97223
1820,308.66888
1822,264.48898
1826,230.02098
1827,79.2163
1835,27.512716
1841,100.637146
1842,120.72634
1843,28.499565
1846,57.40041
1849,101.50647
1850,188.05663
1851,212.23703
1857,50.96805
1858,175.70648
1860,113.27315
1861,236.85228
1864,100.2793
1869,352.13297
1871,91.5112
1872,36.390972
1875,11.739177
1878,245.13979
1879,236.23605
1885,83.72219
1888,101.34099
1889,13.264713
1890,105.20394
1896,77.70527
1897,158.8707
1898,109.90145
1900,104.48996
1905,31.936712
1908,126.3313
1909,61.10953
1913,51.677402
1918,120.62447
1922,299.1668
1923,102.57808
1925,287.7302
1926,75.63781
1927,319.39224
1930,175.02953
1935,68.04436
1939,116.96365
1942,95.61141
1943,194.95625
1948,258.51654
1949,297.62082
1951,101.24526
1953,128.38596
1959,69.90727
1963,14.998694
1967,64.45868
1973,209.35622
1975,29.441624
1976,63.717213
1990,85.23332
1993,122.40792
1997,220.89558
1999,87.58827
2001,314.31302
2004,80.81685
2010,117.337776
2013,123.383316
2017,305.1224
2021,88.26942
2023,133.34834
2026,160.71443
2037,38.50589
2039,248.1795
2041,21.663902
2046,31.384903
2050,22.34089
2060,172.29604
2067,124.75927
2069,65.64615
2072,219.11507
2074,133.75659
2079,97.30056
2083,6.3640995
2085,193.39555
2087,8.182387
2093,152.2432
2094,44.00871
2097,33.394054
2103,112.424866
2104,55.34277
2107,177.78154
2108,17.790865
2110,70.446205
2115,177.72847
2117,34.474365
2125,283.1278
2127,247.84044
2133,26.93434
2134,396.21295
2135,136.24129
2141,240.39041
2143,36.036568
2145,80.20655
2146,49.274742
2147,268.72723
2148,42.246323
2149,69.98107
2165,131.2428
2166,160.23761
2177,213.35603
