id,count
0,93.52
1,260.19
2,104.7
4,32.485
5,134.96833333333333
10,120.375
11,238.315
12,380.475
15,47.59
17,201.62
18,295.01
23,231.49
25,148.65
26,45.165
31,190.125
39,127.27
40,29.875
41,213.76
42,379.47
43,145.805
51,172.38
52,101.08
54,15.42
60,131.235
61,154.615
62,99.4675
63,27.55
65,85.75
66,124.515
68,180.525
71,99.69
80,30.86
82,66.08
94,147.895
98,248.88
101,39.855
102,163.24
107,160.585
112,249.68
113,98.465
115,60.065
116,108.9
120,155.945
121,50.205
122,317.285
132,206.83
143,104.585
147,59.91
150,13.45
151,91.45
152,211.075
153,84.03
155,191.565
156,147.875
159,152.085
161,121.65
163,37.875
177,140.92
186,15.645
188,17.566666666666666
190,105.375
191,86.605
192,282.4
195,302.78
200,138.46
209,319.99
210,14.922166666666664
211,221.205
214,225.73249999999996
215,26.665
218,108.02
219,31.4
222,168.115
225,17.525
228,314.03
236,159.795
241,38.72
242,224.59
243,152.41
245,15.5275
247,252.45166666666665
251,159.645
252,78.48
253,85.9
254,93.705
258,308.15
260,49.605
261,149.345
265,83.31
266,278.905
267,325.31
269,169.075
270,63.07
275,96.705
278,44.975
279,93.16
286,105.965
287,27.095
288,245.85
289,136.67833333333334
293,18.235
294,184.525
297,44.11
302,127.91
303,91.86
304,108.875
307,101.185
309,15.9775
311,151.335
312,153.89
314,199.245
315,176.435
319,138.38958333333335
322,107.975
323,54.665
325,144.695
327,242.37
330,45.325
332,170.815
333,16.153333333333332
338,100.545
341,105.96
345,216.19
348,130.07
349,43.045
350,125.745
352,56.575
355,19.74
356,175.185
358,62.375
363,150.295
369,123.47
371,15.31
372,148.925
375,296.41
380,145.72
388,32.35
391,149.0
392,274.07
393,373.985
394,227.305
396,27.36
401,39.945
407,92.605
409,97.645
410,125.5625
416,132.21
418,124.595
420,150.875
421,216.625
422,134.155
424,289.495
428,375.88
429,239.645
431,219.875
435,21.335
439,110.695
441,16.715
447,83.865
449,219.425
451,190.015
452,14.643333333333333
454,212.79
458,237.44
463,148.745
467,13.805
470,287.905
471,147.19
474,285.01
478,12.36
483,124.965
484,176.2
485,84.03
486,145.62
491,100.385
494,93.105
495,257.885
497,222.735
499,234.37
515,126.455
518,196.6
521,209.815
525,153.835
529,253.76
532,143.025
534,85.595
540,80.92
544,315.21
547,143.66
549,31.97
563,45.17
564,152.7
567,129.065
572,140.99
577,141.955
578,246.82
585,382.79
588,219.85
589,149.42
590,100.45
592,15.045
594,299.21
596,15.42
598,394.26
599,127.12
605,34.385
606,134.44
607,279.47
608,205.61083333333335
609,52.31
610,288.035
611,217.075
614,188.8
615,190.995
616,244.605
617,143.205
618,239.075
624,126.7
629,151.565
631,88.38
633,93.505
637,27.645
638,104.4
643,71.585
644,133.07
645,43.995
646,211.3475
648,162.46
650,37.99
651,228.71
652,272.905
656,137.515
657,14.215
659,108.935
660,239.01
662,99.52
665,334.03
675,332.2
681,140.62
682,235.72
685,16.105
686,147.525
689,26.235
696,120.0
703,147.775
704,100.21
705,190.06
714,241.96916666666667
717,107.56
718,12.36
720,62.015
721,223.84
723,209.795
726,225.26
728,144.955
730,233.52
731,27.64
734,342.405
737,93.86
738,14.245
745,220.355
746,27.64
749,241.8
752,26.07
753,191.405
758,228.565
765,14.405
766,232.435
768,91.45
769,179.455
774,189.055
775,89.325
781,66.115
784,335.56
794,14.29
795,285.34
796,82.845
802,219.34
803,229.095
805,43.045
806,285.19
807,98.195
809,16.235
810,211.3
812,229.11
814,126.025
818,248.855
819,146.545
825,62.15
836,131.665
839,164.22
847,267.015
848,226.62
851,142.01
852,136.63
853,33.665
857,186.745
858,42.49
859,241.87
861,32.03
867,106.365
870,250.815
871,191.315
872,219.425
874,376.955
881,133.115
886,130.17
890,60.175
895,140.275
899,85.9
900,281.775
901,242.19
902,197.195
903,46.26
913,244.495
918,174.59
923,185.13549999999995
924,47.36
926,26.04
927,20.035
930,220.055
934,26.595
937,143.84
939,204.66
941,89.265
942,397.84
946,287.905
950,102.815
953,89.19
959,79.38
961,23.12
962,80.175
964,76.95
969,202.535
971,119.125
976,48.645
978,242.185
980,250.53
981,201.13
990,383.935
993,16.07
996,15.5375
998,339.51
999,191.57
1006,102.79
1008,15.645
1013,26.135
1015,104.265
1016,143.145
1022,320.17
1026,214.65
1028,236.81
1031,98.805
1034,49.605
1037,174.015
1040,63.07
1042,17.01
1046,14.215
1048,110.80125
1049,108.185
1050,59.05
1051,185.86
1052,236.635
1055,228.0
1060,132.78
1064,26.07
1066,80.675
1071,107.78
1073,13.3
1089,151.335
1091,128.235
1092,64.77
1093,240.12
1096,331.08
1097,233.25666666666663
1098,18.506666666666668
1099,42.785
1102,212.465
1107,104.035
1109,46.54
1111,195.65
1112,111.075
1114,299.485
1116,286.42
1117,148.43
1118,105.235
1122,178.255
1124,141.94
1127,124.265
1133,249.57
1134,45.165
1135,219.68
1139,307.365
1143,66.11
1150,128.96
1151,91.945
1153,284.86
1155,27.37
1162,22.21
1163,188.99
1166,23.43
1171,80.4
1172,15.125499999999997
1173,222.04416666666665
1174,91.885
1177,109.22
1178,222.47
1184,225.54
1185,101.0025
1186,126.06
1187,160.71
1188,274.12
1191,141.8
1207,101.57
1213,42.42
1215,143.705
1223,253.64
1227,100.92
1236,67.19
1237,59.1
1238,18.12
1241,25.74
1248,13.6
1250,45.41
1251,140.66
1253,123.155
1255,108.075
1257,253.64
1261,125.425
1262,372.105
1265,171.82
1273,152.91
1277,280.59
1278,140.91
1280,127.405
1284,237.355
1285,337.165
1288,34.385
1295,97.26
1297,388.82
1299,231.925
1304,149.13
1308,45.17
1310,103.645
1311,149.175
1314,98.465
1315,98.605
1318,43.995
1320,335.62
1321,292.55
1322,247.77
1330,120.94
1333,143.54833333333335
1334,227.935
1341,176.075
1344,180.03
1351,253.665
1354,99.81
1356,65.33
1363,98.51125
1365,199.51
1369,141.905
1373,129.095
1375,98.73375
1377,82.06
1379,215.11
1380,293.65
1381,96.48
1384,168.8
1390,207.01
1393,241.485
1395,63.385
1399,340.635
1400,99.71
1401,191.16
1404,117.9
1408,14.175
1409,30.18
1413,215.31
1416,275.305
1418,99.2175
1423,105.965
1424,27.32
1425,13.805
1433,170.685
1434,167.13
1436,323.41
1442,259.38
1444,85.9
1445,149.36
1452,159.185
1455,143.0
1462,66.39
1467,84.41
1472,41.28
1475,233.22
1493,119.52
1501,195.12
1503,306.28
1504,231.185
1505,15.958333333333332
1511,165.135
1512,61.33
1513,121.015
1514,39.5
1528,188.66
1533,250.29
1534,26.32
1536,147.555
1537,60.68899999999999
1539,267.99
1550,227.39
1552,212.53708333333333
1554,189.605
1555,386.77
1556,95.425
1559,38.07
1563,210.33
1566,194.69
1567,219.315
1568,23.96
1571,231.11999999999998
1572,14.855
1574,59.05
1577,15.42
1583,121.555
1585,31.625
1586,193.635
1587,218.965
1596,143.015
1602,46.26
1604,93.505
1605,42.42
1610,298.885
1611,98.8
1616,34.385
1617,97.135
1618,15.795
1622,35.275
1623,33.225
1628,307.27
1631,14.36
1632,132.445
1633,234.065
1634,333.215
1636,244.045
1637,99.68125
1643,155.64
1644,103.685
1646,104.675
1648,181.68541666666667
1651,43.08
1656,19.062666666666665
1658,134.335
1659,17.555
1665,226.13
1666,155.925
1670,46.66
1674,205.61083333333335
1679,247.405
1680,253.26
1683,322.72
1686,22.995
1691,99.49
1693,40.705
1696,40.71
1697,99.675
1703,106.115
1706,27.36
1709,206.78
1710,85.9
1712,188.0
1713,139.655
1718,395.94
1719,185.135
1722,274.44
1723,118.985
1724,286.92
1728,88.225
1730,27.155
1732,28.025
1737,41.53
1745,87.565
1747,15.67
1748,14.325
1755,128.535
1759,12.36
1761,286.42
1764,241.585
1765,140.635
1766,88.25
1768,100.205
1770,24.14
1771,141.90333333333334
1774,89.775
1785,154.23
1788,223.785
1792,12.465
1794,224.73
1797,145.135
1798,13.355
1799,245.435
1802,98.13625
1806,44.035
1808,77.425
1810,204.01
1818,191.99
1819,401.31
1820,279.0
1822,241.19
1826,243.635
1827,184.975
1835,13.825
1841,92.075
1842,130.235
1843,12.825
1846,37.615
1849,76.425
1850,177.02
1851,224.05
1857,63.53
1858,198.44660714285703
1860,95.225
1861,233.72
1864,120.695
1869,330.165
1871,67.19
1872,39.565
1875,16.5925
1878,225.37
1879,257.525
1885,80.46
1888,79.72
1889,26.27
